brand_name,product_name,price_before,price_after,image_url
Vermilion Bird,Women's 3 Pack Seamless Comfortable Sports Bra with Removable Pads,,S$20.06,https://m.media-amazon.com/images/I/7158C+qfk7L._AC_UL320_.jpg
Hanes,"Men's Sweatshirt, EcoSmart Fleece Crewneck Sweatshirt, Cotton-Blend Fleece Sweatshirt, Plush Fleece Pullover Sweatshirt",,,https://m.media-amazon.com/images/I/71fkLZOXbEL._AC_UL320_.jpg
ONLYSTORY,Daisy Bras for Older Women No Underwire Front Closure Comfort Senior Wireless Snap Closing Bra,,S$33.83,https://m.media-amazon.com/images/I/51uNnoWf3JL._AC_UL320_.jpg
Dellytop,Womens V Neck Shirts Long Sleeve Waffle Knit Loose Fitting Warm Tee Tops Pullover Sweaters,,S$38.04,https://m.media-amazon.com/images/I/61oq4fnveBL._AC_UL320_.jpg
ONLYSTORY,Daisy Lace Bras for Women Front Closure No Underwire Comfort Senior Wireless Snap Closing Bra,,S$30.72,https://m.media-amazon.com/images/I/51+S-EcRjkL._AC_UL320_.jpg
ohlyah,Women's Seamless Wire-Free Bra with Removable Pads,,S$50.86,https://m.media-amazon.com/images/I/517xO9zvjQL._AC_UL320_.jpg
ENVEZ,Womens Winter Coats Warm Full Zip Puffer Jacket Hooded Length Quilted Coat Windproof Outdoor Padded Jacket Down Outwear,,S$35.00,https://m.media-amazon.com/images/I/714gQdIoeVL._AC_UL320_.jpg
Hount,Women's Lightweight Hooded Raincoat Waterproof Packable Active Outdoor Rain Jacket (S-3XL),,S$49.30,https://m.media-amazon.com/images/I/613Zu6ZQ9zL._AC_UL320_.jpg
WELINCO,Womens Crewneck Pullovers Color Block Long Sleeve Side Split Tunic Tops,,S$38.51,https://m.media-amazon.com/images/I/81NKdgz0TCL._AC_UL320_.jpg
JiangWu,Womens Fashion Horn Button Fleece Thicken Coat with Hood Winter Warm Jacket,,S$84.05,https://m.media-amazon.com/images/I/716mHZ8hlXL._AC_UL320_.jpg
Skechers,Women's Go Walk Joy Sneaker,,S$61.17,https://m.media-amazon.com/images/I/81SBLTe2siL._AC_UL320_.jpg
Billion Deals,Round Adjustable Pure Copper Healing Bracelet Kada/Kadaa/Bangle (Pack of 2) Positive Energy,,S$26.75,https://m.media-amazon.com/images/I/41YUwgKzEaL._AC_UL320_.jpg
Fessceruna,Womens Summer Sexy Short Sleeve Tshirt Tops Deep V Neck Shirts Casual Slim Fit Basic T-Shirt Tee Grey,,S$43.54,https://m.media-amazon.com/images/I/61c1aKeiEFL._AC_UL320_.jpg
Gaharu,Women's Swing Tunic Notch Collar Ladies Button Sweatshirt Long Sleeve Pullover Shirt Tops,,S$50.84,https://m.media-amazon.com/images/I/61bMtd4FqHL._AC_UL320_.jpg
Ultra Game,NBA Women's Extra Soft Fleece Distressed Oversized Pullover Sweatshirt,,S$57.37,https://m.media-amazon.com/images/I/71SLEwfHFAL._AC_UL320_.jpg
TUCO DEALS,2 x 4 Inch Rectangle - Thank You for Your Purchase Amazon Ebay Thank You for Your Purchase Feedback Stickers by Tuco Deals (2 Rolls Per Pack),,S$54.80,https://m.media-amazon.com/images/I/71nP-4NDelL._AC_UL320_.jpg
PUMA,ESS+ BLOCK Crew 849564 Men's Sweatshirt Hoodie + Pants,,S$48.53,https://m.media-amazon.com/images/I/71PWnPiVkWL._AC_UL320_.jpg
SOCKS'NBULK,Mens Cotton Crew Neck Short Sleeve T-Shirts Mix Colors Bulk,,S$240.62,https://m.media-amazon.com/images/I/81PdxpE-NkL._AC_UL320_.jpg
Esther Odejimi,How to Sell on Amazon: The Real Deal,,S$43.08,https://m.media-amazon.com/images/I/61uehxmR+LL._AC_UL320_.jpg
Elina Salajeva,Do You Fancy A $25 000 Publishing Deal?: How to Secure A Publishing Contract with Amazon Kindle Scout worth $25000,,S$21.82,https://m.media-amazon.com/images/I/71hCWtSh09L._AC_UL320_.jpg
Amar Chitra Katha Tumku Goes Zip Zap Zoom | Fun Adventure Story for Kids 3+ | Exciting Children's Book for Ages3 to 7 | Perfect Bedtime Read | Amazon Bestseller | Amazon Deals | collection,,,S$11.15,https://m.media-amazon.com/images/I/81hoJzYTzPL._AC_UL320_.jpg
Generic,"Memory Foam Bath Mat 30x20, Extra Soft and Absorbent Bathroom Mats, Non Slip Washable Carpet for Floor, Shower and Tub, Black (40×60cm)",S$21.99,S$18.99,https://m.media-amazon.com/images/I/71NbY9+m3dL._AC_UL320_.jpg
Xiahium,"Back To School Teacher's Day Drop Earrings - Wood Dangle Earrings - Colorful Crayon Pencil Ruler Book Shape Teacher's Gift, Rainbow Earrings Bulk Wooden Jewelry for Women",,S$6.20,https://m.media-amazon.com/images/I/71s9yJlgqbL._AC_UL320_.jpg
Mark Evans,"Audible (by Amazon): How to Get Started, Use Credits, Listen Anywhere, Return Audiobooks, and Manage Your Subscription",,S$20.40,https://m.media-amazon.com/images/I/61cuwIBiF9L._AC_UL320_.jpg
Lucky James Osuagwu,MAKING PASSIVE INCOME THROUGH AMAZON KINDLE PUBLISHER EBOOK.: MAKING DOLLARS ONLINE GUARANTEED,,S$17.49,https://m.media-amazon.com/images/I/71VBWJ4VfIL._AC_UL320_.jpg
Amar Chitra Katha Tumku Is Clever | Fun Story Book for Kids Ages 3-10 | Children's Indian Comics | Learning and Adventures | Collection | Bestselling Amazon Deals | ACK Junior Series,,,S$10.28,https://m.media-amazon.com/images/I/81QXtYM9HOL._AC_UL320_.jpg
Gerald Zimmerman,"How To Make Money Selling Used Books On Amazon: There may be dollars on your bookshelf. All you need to do is list them, sell them, and enjoy the benefits!",,S$16.38,https://m.media-amazon.com/images/I/617la5fwzdL._AC_UL320_.jpg
Carolyn Byron Lowe,"Business Growth Do's and Absolute Don'ts: Applied Wisdom from My Work with Dell, Costco, Amazon, and Multiple Start-ups",,S$37.80,https://m.media-amazon.com/images/I/61oCA6nM28L._AC_UL320_.jpg
Phil Szostak,The Art of Solo: A Star Wars Story,,S$70.79,https://m.media-amazon.com/images/I/61gAXIc4vbL._AC_UL320_.jpg
jovati,Women's Linen Cotton Capri Pants Casual Loose Fit Elastic Waist with Pockets Plus Size,,S$28.00,https://m.media-amazon.com/images/I/61YmPVg7AkL._AC_UL320_.jpg
CLUCI,"Crossbody Bags for Women Trendy, Vegan Leather Shoulder Handbags，Purses for Women with Adjustable Wide Strap",,S$53.32,https://m.media-amazon.com/images/I/71WXpkDTExL._AC_UL320_.jpg
SWIMS,"SWIMS Shoes Sneakers for Mens, All Day Comfortable Sole for Walking & Running, Eriksson Oxford Sneaker",,S$421.21,https://m.media-amazon.com/images/I/51RPZrY7b5L._AC_UL320_.jpg
New Balance,unisex-child KA680Running Shoe,,S$111.25,https://m.media-amazon.com/images/I/81es9Gw6dJL._AC_UL320_.jpg
kensie,"Jeans for Women The Natalie High-Rise Bootcut 32-Inch Inseam, Sizes 0-12",,S$101.90,https://m.media-amazon.com/images/I/81Rf4pzaQXL._AC_UL320_.jpg
